"x","y","dx","dy","dist","dt","R2n","abs.angle","rel.angle","id","date","id_day_all","month","datetime","behavior","species","id_tree","group"
364639.2,7540958.63,-26.2000000000116,7.11000000033528,27.1475984205855,300,54109.1190345816,2.87660057856081,0.371427071357749,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 08:25:00,"Marking territory",NA,NA,"SantaMaria"
364613,7540965.74,0,0,0,300,60056.2068547359,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 08:30:00,"Frugivory",NA,"SMaf102","SantaMaria"
364613,7540965.74,0,0,0,300,60056.2068547359,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 08:35:00,"Frugivory",NA,"SMaf102","SantaMaria"
364613,7540965.74,0,0,0,300,60056.2068547359,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 08:40:00,"Frugivory",NA,"SMaf102","SantaMaria"
364613,7540965.74,0,0,0,300,60056.2068547359,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 08:45:00,"Frugivory",NA,"SMaf102","SantaMaria"
364613,7540965.74,0,0,0,300,60056.2068547359,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 08:50:00,"Frugivory",NA,"SMaf102","SantaMaria"
364613,7540965.74,15.8800000000047,42.3700000001118,45.2481082478552,300,60056.2068547359,1.2122067222241,-1.66439385633671,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 08:55:00,"Inactive",NA,"SMaf102","SantaMaria"
364628.88,7541008.11,-1.02000000001863,24.4099999992177,24.4313016428074,300,80154.4765387933,1.61255818476903,0.400351462544926,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 09:00:00,"Inactive",NA,NA,"SantaMaria"
364627.86,7541032.52,-2.64999999996508,31.4000000003725,31.5116248394654,300,94474.4730223231,1.65499171562374,0.0424335308547195,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 09:05:00,"Travel",NA,NA,"SantaMaria"
364625.21,7541063.92,7.95999999996275,2.21999999973923,8.26377637634569,300,114785.561502524,0.271983253617391,-1.38300846200635,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 09:10:00,"Foraging",NA,"AMf186","SantaMaria"
364633.17,7541066.14,0,0,0,300,115527.36067035,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 09:15:00,"Frugivory",NA,"AMf186","SantaMaria"
364633.17,7541066.14,0,0,0,300,115527.36067035,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 09:20:00,"Frugivory",NA,"AMf186","SantaMaria"
364633.17,7541066.14,0,0,0,300,115527.36067035,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 09:25:00,"Frugivory",NA,"AMf186","SantaMaria"
364633.17,7541066.14,0,0,0,300,115527.36067035,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 09:30:00,"Frugivory",NA,"AMf186","SantaMaria"
364633.17,7541066.14,0,0,0,300,115527.36067035,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 09:35:00,"Frugivory",NA,"AMf186","SantaMaria"
364633.17,7541066.14,0,0,0,300,115527.36067035,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 09:40:00,"Frugivory",NA,"AMf186","SantaMaria"
364633.17,7541066.14,0,0,0,300,115527.36067035,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 09:45:00,"Inactive",NA,"AMf186","SantaMaria"
364633.17,7541066.14,0,0,0,300,115527.36067035,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 09:50:00,"Frugivory",NA,"AMf186","SantaMaria"
364633.17,7541066.14,0,0,0,300,115527.36067035,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 09:55:00,"Frugivory",NA,"AMf186","SantaMaria"
364633.17,7541066.14,0,0,0,300,115527.36067035,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 10:00:00,"Frugivory",NA,"AMf186","SantaMaria"
364633.17,7541066.14,25.320000000007,13.7900000000373,28.8316926315709,300,115527.36067035,0.4987100611903,0.226726807572909,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 10:05:00,"Travel",NA,"AMf186","SantaMaria"
364658.49,7541079.93,8.67999999999302,20.8500000005588,22.5846164462269,300,123472.317426358,1.17631174660487,0.677601685414565,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 10:10:00,"Inactive",NA,NA,"SantaMaria"
364667.17,7541100.78,38.2300000000396,4,38.4386901442157,300,138306.929790749,0.104250551568562,-1.0720611950363,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 10:15:00,"Foraging",NA,NA,"SantaMaria"
364705.4,7541104.78,9.46999999997206,16.9399999994785,19.407331088581,300,142059.69149475,1.0610453087177,0.956794757149136,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 10:20:00,"Inactive",NA,NA,"SantaMaria"
364714.87,7541121.72,45.6900000000023,26.890000000596,53.0155467766981,300,155718.813270338,0.531944030349381,-0.529101278368317,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 10:25:00,"Foraging",NA,NA,"SantaMaria"
364760.56,7541148.61,25.2200000000303,5.75,25.8671780448028,300,183173.533402809,0.224162013737164,-0.307782016612217,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 10:30:00,"Travel",NA,NA,"SantaMaria"
364785.78,7541154.36,77.5699999999488,68.7099999999627,103.625136911789,300,192917.644158816,0.724903295624894,0.50074128188773,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 10:35:00,"Travel",NA,NA,"SantaMaria"
364863.35,7541223.07,0,0,0,300,279092.106474772,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 10:40:00,"Foraging","inch_pass","AMf109","SantaMaria"
364863.35,7541223.07,0,0,0,300,279092.106474772,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 10:45:00,"Frugivory","inch_pass","AMf109","SantaMaria"
364863.35,7541223.07,0,0,0,300,279092.106474772,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 10:50:00,"Frugivory","inch_pass","AMf109","SantaMaria"
364863.35,7541223.07,0,0,0,300,279092.106474772,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 10:55:00,"Frugivory","inch_pass","AMf109","SantaMaria"
364863.35,7541223.07,16.9400000000023,0.639999999664724,16.9520854174243,300,279092.106474772,0.0377624413804437,-0.68714085424445,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 11:00:00,"Travel","inch_pass","AMf109","SantaMaria"
364880.29,7541223.71,75.7400000000489,64.089999999851,99.2173155250045,300,286348.72150644,0.702274687084271,0.664512245703827,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 11:05:00,"Travel",NA,NA,"SantaMaria"
364956.03,7541287.8,27.3299999999581,7.19000000040978,28.2599539986109,300,390503.734278257,0.257251671471331,-0.44502301561294,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 11:10:00,"Travel",NA,NA,"SantaMaria"
364983.36,7541294.99,0.5,3.50999999977648,3.54543368270102,300,414627.313882689,1.42929815528793,1.1720464838166,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 11:15:00,"Out of sight",NA,NA,"SantaMaria"
364983.86,7541298.5,15.7700000000186,58.75,60.8297246418278,300,418920.209262435,1.30855256115461,-0.120745594133318,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 11:20:00,"Foraging",NA,NA,"SantaMaria"
364999.63,7541357.25,0,0,0,300,499237.229658414,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 11:25:00,"Frugivory","Eugenia aff. ramboi","AMf112","SantaMaria"
364999.63,7541357.25,0,0,0,300,499237.229658414,NA,NA,"SantaMaria","2015-04-09","Apr_20","Apr",2015-04-09 11:30:00,"Frugivory","Eugenia aff. ramboi","AMf112","SantaMaria"
